Transaction ID,Fixture type,Model,Model #,S/N,image,Real S/N,,,
01AAACKQ,Google Voice Remote,G9N9N,GA01409,2B041QUH1A00L7,,2B041QUH1A00L7,,,
01AAACKP,Google Chromecast,GZRNL,GA01433,29211HFGN30BPT,,29211HFGN30BPT,,,
01AAACKO,Google Voice Remote,G9N9N,GA01409,24141QUH11007M,,24141QUH11007M,,,
01AAACKN,Google Chromecast,GZRNL,GA01433,29221HFGN30K11,,29221HFGN30K11,,,
01AAACKM,Google Voice Remote,G9N9N,GA01409,26041QUH1003SM,,26041QUH1003SM,,,
01AAACKL,Google Chromecast,GZRNL,GA01433,29281HFGN33X6A,,29281HFGN33X6A,,,
01AAACKK,Google Voice Remote,G9N9N,GA01409,28201QUH1001UB,,28201QUH1001UB,,,
01AAACKJ,Google Chromecast,GZRNL,GA01433,29241HFGN32775,,29241HFGN32775,,,
01AAACKI,Google Voice Remote,G9N9N,GA01409,26151QUH1001IT,,26151QUH1001IT,,,
01AAACKH,Google Chromecast,GZRNL,GA01433,2A021HFGN362FS,,2A021HFGN362FS,,,
01AAACKG,Google Voice Remote,G9N9N,GA01409,28271QUH1000X8,,28271QUH1000X8,,,
01AAACKF,Google Chromecast,GZRNL,GA01433,26141HFGN0UXU6,,26141HFGN0UXU6,,,
01AAACKE,Google Voice Remote,G9N9N,GA01409,21201HFAK5UXIC,,21201HFAK5UXIC,,,
01AAACKD,Google Chromecast,GZRNL,GA01433,2A021HFGN362E3,,2A021HFGN362E3,,,
01AAACKC,Google Voice Remote,G9N9N,GA01409,28291QUH1201UR,,28291QUH1201UR,,,
01AAACKB,Google Chromecast,GZRNL,GA01433,28191HFGN26RFZ,,28191HFGN26RFZ,,,
01AAACKA,Google Voice Remote,G9N9N,GA01409,29201QUH12052F,,29201QUH12052F,,,
01AAACJ9,Google Chromecast,GZRNL,GA01433,28221HFGN280WH,,28221HFGN280WH,,,
01AAACJ8,Google Voice Remote,G9N9N,GA01409,26211QUH1000IL,,26211QUH1000II,,,
01AAACJ7,Google Chromecast,GZRNL,GA01433,2A031HFGN36KYQ,,2A031HFGN36KYQ,,,
01AAACJ6,Google Voice Remote,G9N9N,GA01409,28261HFAK8RU7O,,28261HFAK8RU7O,,,
01AAACJ5,Google Chromecast,GZRNL,GA01433,29051HFGN2FQ4Z,,29051HFGN2FQ4Z,,,
01AAACJ4,Google Voice Remote,G9N9N,GA01409,28291HFAK8UAIY,,28291HFAK8UAIY,,,
01AAACJ3,Google Chromecast,GZRNL,GA01433,29011HFGN2DYQC,,29011HFGN2DYQC,,,
01AAACJ2,Google Voice Remote,G9N9N,GA01409,28261HFAK8RZKV,,28261HFAK8RZKV,,,
01AAACJ1,Google Chromecast,GZRNL,GA01433,29051HFGN2FHPB,,29051HFGN2FHPB,,,
01AAACJ0,Google Voice Remote,G9N9N,GA01409,28191HFAK8NW09,,28191HFAK8NW09,,,
01AAACJZ,Google Chromecast,GZRNL,GA01433,29021HFGN2EC67,,29021HFGN2EC67,,,
01AAACJY,Google Voice Remote,G9N9N,GA01409,28271HFAK8THFD,,28271HFAK8THFD,,,
01AAACJX,Google Chromecast,GZRNL,GA01433,28301HFGN2CH49,,28301HFGN2CH49,,,
01AAACJW,Google Voice Remote,G9N9N,GA01409,28251HFAK8RTHS,,28251HFAK8RTHS,,,
01AAACJV,Google Chromecast,GZRNL,GA01433,2A121HFGN3AUKF,,2A121HFGN3AUKF,,,
01AAACJU,Google Voice Remote,G9N9N,GA01409,26071QUH1004YK,,26071QUH1004YK,,,
01AAACJT,Google Chromecast,GZRNL,GA01433,26181HFGN0XGTX,,26181HFGN0XGTX,,,
01AAACJS,Google Voice Remote,G9N9N,GA01409,23051HFAK69ZFA,,23051HFAK69ZFA,,,
01AAACJR,Google Chromecast,GZRNL,GA01433,2B021HFGN3G0M7,,2B021HFGN3G0M7,,,
01AAACJQ,Google Voice Remote,G9N9N,GA01409,2A261QUH1C00QP,,2A261QUH1C00QP,,,
01AAACJP,Google Chromecast,GZRNL,GA01433,2A031HFGN36LEL,,2A031HFGN36LEL,,,
01AAACJO,Google Voice Remote,G9N9N,GA01409,29151QUH1003HD,,29151QUH1003HD,,,
01AAACJN,Google Chromecast,GZRNL,GA01433,29011HFGN2DW1Q,,29011HFGN2DW1Q,,,
01AAACJM,Google Voice Remote,G9N9N,GA01409,28251HFAK8R1NO,,28251HFAK8R1NO,,,
01AAACJL,Google Chromecast,GZRNL,GA01433,29021HFGN2ECZ7,,29021HFGN2ECZ7,,,
01AAACJK,Google Voice Remote,G9N9N,GA01409,28261HFAK8RUXV,,28261HFAK8RUXV,,,
01AAACJJ,Google Chromecast,GZRNL,GA01433,2A021HFGN362EV,,2A021HFGN362EV,,,
01AAACJI,Google Voice Remote,G9N9N,GA01409,28271QUH1002OS,,28271QUH1002OS,,,
01AAACJH,Google Chromecast,GZRNL,GA01433,2A021HFGN362KD,,2A021HFGN362KD,,,
01AAACJG,Google Voice Remote,G9N9N,GA01409,28271QUH1000PT,,28271QUH1000PT,,,
01AAACJF,Google Chromecast,GZRNL,GA01433,29231HFGN31H2W,,29231HFGN31H2W,,,
01AAACJE,Google Chromecast,GZRNL,GA01433,28111HFGN22SNN,,28111HFGN22SNN,,,
01AAACJD,Google Voice Remote,G9N9N,GA01409,28031HFAK8E9KC,,28031HFAK8E9KC,,,
01AAACJC,Google Chromecast,GZRNL,GA01433,2A051HFGN37EVG,,2A051HFGN37EVG,,,
01AAACJB,Google Voice Remote,G9N9N,GA01409,25141QUH1006ZC,,25141QUH1006ZC,,,
01AAACJA,Google Chromecast,GZRNL,GA01433,28041HFGN1YSSE,,28041HFGN1YSSE,,,
01AAACI9,Google Voice Remote,G9N9N,GA01409,27231HFAK881SA,,27231HFAK881SA,,,
01AAACI8,Google Chromecast,GZRNL,GA01433,2A271HFGN3FHFQ,,2A271HFGN3FHFQ,,,
01AAACI7,Google Voice Remote,G9N9N,GA01409,29281QUH1007I1,,29281QUH1007I1,,,
01AAACI6,Google Chromecast,GZRNL,GA01433,2A181HFGN3CTXS,,2A181HFGN3CTXS,,,
01AAACI5,Google Voice Remote,G9N9N,GA01409,29291QUH1103PO,,29291QUH1103PO,,,
01AAACI4,Google Chromecast,GZRNL,GA01433,2A121HFGN3APZL,,2A121HFGN3APZL,,,
01AAACI3,Google Voice Remote,G9N9N,GA01409,29191QUH1203GH,,29191QUH1203GH,,,
01AAACI2,Google Voice Remote,G9N9N,GA01409,29221QUH110724,,29221QUH110724,,,
01AAACI1,Google Chromecast,GZRNL,GA01433,2A311HFGN3FVUH,,2A311HFGN3FVUH,,,
01AAACI0,Google Voice Remote,G9N9N,GA01409,28231HFAK8PQIH,,28231HFAK8PQIH,,,
01AAACIZ,Google Chromecast,GZRNL,GA01433,28301HFGN2CH8C,,28301HFGN2CH8C,,,
